NodeNo,A.melanoleuca,C.dingo,D.marsupialis,E.barbara,L.pardalis,MeanShape,P.lotor,P.uncia,PC1.max,PC1.min,PC2.max,PC2.min,S.harrisii,U.arctos,V.vulpes,V.zibetha,PC1pos.PC2pos,PC1pos.PC2neg,PC1neg.PC2pos,PC1neg.PC2neg
105,4.205,15.4663,23.9789,9.10821,1.57209,7.56362,3.24219,12.0681,0.748732,14.4809,23.2257,1.7252,4.99084,6.96782,36.1309,27.0609,7.98408,2.57147,38.2308,6.149
106,4.12535,13.5631,22.9167,7.82354,2.00532,7.85654,3.17686,12.4388,2.98439,15.4215,24.7238,2.5976,5.27677,6.73302,42.387,26.0454,8.69186,2.98547,39.6546,7.6171
107,1.9439,16.0379,21.0403,8.17153,1.69441,8.09453,3.74889,12.8344,3.69254,14.6575,24.5444,1.76312,5.819,7.76798,32.1378,21.9188,8.64011,2.23427,38.3591,7.07901
108,1.1915,15.3773,24.8522,9.06348,2.4805,7.44388,3.61527,11.9201,1.21112,12.4244,23.8141,0.511788,5.71044,7.83147,33.6197,21.149,7.89174,3.52503,41.8659,7.13401
109,1.05208,15.2283,24.7717,9.21376,2.62627,7.15697,3.8375,13.2055,3.78977,14.0182,24.4498,1.44163,4.47948,6.82256,40.353,26.6675,8.21337,3.27077,37.4713,7.344
110,5.21463,13.6448,24.536,8.92346,2.08925,8.00024,2.94269,12.8022,1.96739,18.859,23.5485,1.6753,4.43043,7.95124,32.3055,22.2154,8.03758,2.71841,37.7642,7.46375
111,3.61764,16.3191,22.4268,8.91133,1.54873,8.07611,9.58502,12.0512,3.1655,18.9653,23.5188,1.78152,1.62832,6.47963,33.3264,22.4882,8.94653,1.5771,34.5114,6.4494
112,3.64912,13.4999,24.804,9.21889,1.58256,7.42082,1.11847,12.5599,0.952635,18.6233,23.7374,1.39309,1.28281,7.31133,34.3228,21.3684,7.59722,2.72844,39.7394,7.43011
113,1.0451,13.6569,23.9461,9.38255,2.6248,8.2368,3.40498,12.1631,4.0167,16.4451,23.5239,1.77057,4.70442,7.90982,31.7691,22.993,8.17371,2.19798,35.5472,5.77645
114,5.17726,14.9769,20.6698,9.29228,2.58252,8.02679,3.81168,12.1923,3.92912,15.1153,24.1681,1.2023,5.15225,7.72041,39.0071,23.127,7.83242,1.77817,42.594,7.44412
