NodeNo,A.melanoleuca,C.dingo,D.marsupialis,E.barbara,L.pardalis,MeanShape,P.lotor,P.unica,PC1.max,PC1.min,PC2.max,PC2.min,S.harrisii,U.arctos,V.vulpes,V.zibetha,PC1pos.PC2pos,PC1pos.PC2neg,PC1neg.PC2pos,PC1neg.PC2neg
120,4.58625,9.85917,8.01052,7.85097,10.7971,10.34,18.1413,13.3701,5.59116,13.6412,6.47956,3.14162,1.88382,7.90838,10.5699,10.148,7.14058,1.3067,13.4583,7.06095
121,3.11342,9.77083,6.77903,10.273,4.74206,6.52743,6.1792,9.57246,2.27199,17.5892,7.5923,11.4911,4.32431,3.63807,11.2815,9.87718,7.04598,1.60784,13.6767,14.5043
122,1.77986,10.4428,6.24664,4.36202,5.79542,10.1085,2.71589,12.4446,5.34996,14.0389,8.26435,6.0676,4.8662,8.7134,11.2753,9.15564,7.41706,2.14732,14.1636,21.5719
123,4.50619,7.17983,7.88209,8.84314,6.83393,7.13005,6.00311,8.66912,6.75286,17.6357,8.57764,15.4662,5.98031,5.70087,6.89,10.1122,7.32113,2.82261,13.3616,47.5412
124,5.54403,10.1128,7.91628,6.81781,12.2902,7.09879,8.78683,8.80665,4.33803,17.529,8.3857,8.299,3.30519,7.80578,9.96515,8.60477,9.24026,2.40482,12.4996,41.5255
125,1.82254,9.26127,7.68305,10.2531,11.9873,8.12998,17.7802,9.3696,6.11421,18.7792,8.78077,22.3978,1.96122,8.80796,9.44624,9.75703,7.78101,2.42544,13.3917,49.376
126,5.02089,9.19231,7.69163,8.86829,9.6787,9.53858,15.9763,12.6115,7.15129,20.0146,9.08022,6.54034,8.7199,7.93852,10.0915,9.90981,6.79394,4.45876,13.2474,42.1649
127,3.67682,8.93889,6.37255,7.65845,4.5488,8.83833,18.0502,13.4597,5.05,18.6201,8.92063,10.9129,1.35235,4.44111,11.0435,9.5474,7.51461,3.02293,10.0711,5.39666
128,5.23021,6.79467,6.92395,4.99332,4.93225,8.58554,4.08282,9.68499,3.04719,17.8916,8.35564,4.94554,6.69873,4.83177,7.33131,10.1084,6.8866,2.62233,11.9439,32.4612
129,5.21981,8.82122,6.11008,6.12349,4.96355,6.86111,12.7369,9.77668,5.00386,10.2879,7.64066,3.71437,5.66136,9.87904,10.3734,8.55319,7.40163,2.70762,13.2824,35.1583
130,3.97736,7.51716,6.26158,7.48316,8.86399,8.07832,7.0207,9.39624,5.053,13.3811,7.50022,9.72016,3.72435,8.45347,9.59709,9.40547,7.16625,2.09658,11.0679,46.5198
131,1.68125,8.7112,5.529,8.12937,3.94469,8.3424,9.31898,10.4885,7.40937,13.1105,7.23649,9.75396,6.48613,8.18663,10.6925,9.46737,7.25655,1.29637,13.7584,16.3246
