NodeNo.,A.melanoleuca,C.dingo,D.marsupialis,E.barbara,L.pardalis,MeanShape,P.lotor,P.uncia,PC1.max,PC1.min,PC2.max,PC2.min,S.harrisii,U.arctos,V.vulpes,V.zibetha,PC1pos.PC2pos,PC1pos.PC2neg,PC1neg.PC2pos,PC1neg.PC2neg
95,13.7352,14.5578,7.7293,27.2509,23.1182,24.4504,24.4444,28.4099,7.14109,28.0763,7.32581,21.6063,6.28555,18.5378,15.8893,13.2853,10.384,22.33,17.7155,57.4514
96,13.9939,17.1132,6.97111,25.3862,20.3493,24.3067,23.0211,29.5301,7.37891,28.4484,11.6557,5.98974,15.1814,18.9096,14.4605,14.0762,7.74034,6.48494,12.0528,51.5725
97,15.3015,16.1083,10.9582,26.9937,22.7277,24.6772,7.99884,27.2394,9.9097,35.694,5.40993,22.4196,20.8065,18.9079,10.3357,11.6601,9.4259,8.6336,21.6595,55.0303
98,13.5424,15.3682,10.6536,27.5414,24.8723,20.0044,14.247,29.9037,4.2739,32.9382,8.04684,21.462,19.423,20.5591,14.0532,12.1854,8.58911,9.38266,19.9908,54.1904
99,7.11698,11.4432,10.6622,25.6521,23.8328,25.2642,24.7468,30.7871,11.0416,38.7565,5.71112,16.3774,19.3949,18.8685,14.5449,9.76907,10.3941,16.9842,17.3257,52.866
100,14.0788,12.9288,7.5049,25.3429,24.8078,23.9299,24.4342,32.4482,3.61818,28.8522,9.23205,20.8868,22.1882,19.7284,15.4651,14.8083,7.71232,6.20159,10.0376,51.7263
101,8.09643,10.9707,6.51626,26.3493,24.5782,24.1009,6.65823,27.334,10.3913,28.0065,11.8991,7.49922,22.0895,18.6596,17.0638,9.04174,8.38213,8.95039,22.9975,48.4735
102,14.7657,17.1867,11.1122,24.7568,24.3595,20.6166,23.7579,31.7474,10.851,38.1581,8.91215,13.2775,20.9657,18.0202,17.5755,14.6611,9.72824,6.02016,21.4346,55.0622
103,13.5,13.4161,6.3988,25.3163,24.9821,23.5712,18.8213,31.2355,10.9618,27.1139,8.25963,10.9652,18.1076,20.94,19.9518,8.99002,10.2556,9.51422,26.5261,57.5251
104,13.2924,13.4078,8.03728,25.4402,22.487,24.2174,22.5069,32.4722,10.4531,39.4748,11.3457,16.9816,5.79573,18.2088,12.6074,8.8304,9.65159,7.93316,26.8962,58.1852
