NodeNo,A.melanoleuca,C.dingo,D.marsupialis,E.barbara,L.pardalis,MeanShape,P.lotor,P.uncia,PC1.max,PC1.min,PC2.max,PC2.min,S.harrisii,U.arctos,V.vulpes,V.zibetha,PC1pos.PC2pos,PC1pos.PC2neg,PC1neg.PC2pos,PC1neg.PC2neg
88,10.9428,39.8758,36.9687,26.2405,29.1856,30.8415,23.5292,54.3601,2.20491,116.664,30.977,17.6221,24.2656,23.7305,84.7843,41.2594,9.87883,6.91358,93.6118,53.4757
89,12.9073,40.7546,34.4265,27.7046,30.6495,34.987,17.8693,52.6935,10.648,101.387,28.1953,19.0093,5.0574,23.4701,77.2495,46.4185,10.031,7.54203,91.6511,53.9115
90,12.8271,42.7794,29.7415,27.7161,33.3059,33.1759,14.5531,53.0139,4.56594,112.118,32.4918,11.0008,25.9706,24.1199,81.1448,48.3781,10.0502,6.82757,99.1361,59.0496
91,10.8778,39.6561,30.6825,28.875,31.38,35.3714,21.5529,46.7475,8.88205,108.828,26.9308,17.0584,26.0644,24.3331,73.6331,48.1202,12.6413,6.08901,84.5697,57.0047
92,9.80222,41.1388,28.7879,30.3573,27.6485,34.6497,49.3112,52.164,10.7701,95.6494,27.2481,13.6581,17.1662,19.3689,68.9214,48.0517,11.429,7.47776,96.6043,50.9025
93,8.17068,42.921,32.4964,32.2874,31.084,34.1497,20.1992,54.8423,7.53804,107.656,27.568,15.932,21.1452,23.3401,85.5238,48.8468,11.1681,4.75057,94.4827,58.9932
94,12.559,40.5553,30.2814,26.0517,28.055,34.5526,20.2932,50.9324,9.70641,106.335,24.7041,16.3348,19.9334,23.6974,81.9053,46.4529,10.6788,5.46469,92.17,55.1595
95,12.5916,42.0968,31.6212,28.3472,32.5441,31.7569,24.083,53.3545,6.82426,117.385,31.9533,18.8723,5.76722,17.6579,73.9818,42.2226,9.94178,16.0349,99.2321,61.6377
96,12.6159,40.2005,34.0383,31.2037,28.5187,31.961,23.9721,52.7164,6.43852,115.931,26.4289,5.18625,15.1171,18.1299,81.619,39.4474,12.78,5.62248,99.7836,51.0854
97,13.0567,41.6694,29.4784,27.3102,32.3244,31.3273,7.45361,52.5631,9.15431,108.463,31.1059,19.8773,20.7505,24.3454,88.0449,39.4797,10.7844,7.1202,96.5835,61.2793
98,12.8082,41.4106,29.6462,28.2689,33.1892,35.382,12.386,53.3865,3.56153,111.434,25.3875,18.9515,19.243,23.3872,79.5221,38.5779,10.7297,8.20892,98.1013,52.8809
99,6.07143,42.3876,29.828,31.9155,29.3193,30.9209,23.9882,50.2222,11.1,100.198,32.7309,13.9908,20.2717,18.3106,62.7743,48.6385,10.2296,12.3987,83.382,51.9848
100,13.0202,41.4663,33.0744,32.5933,31.1786,34.9137,23.2597,46.8001,3.10368,113.127,24.2741,18.3528,26.7277,23.5691,73.1945,40.9307,12.1785,5.26251,96.5445,55.3222
101,6.16288,42.6235,37.1604,26.2819,30.1931,32.179,6.247,55.1869,9.79291,115.598,25.5566,6.40342,22.1165,23.343,71.6249,46.9673,11.87,6.91194,95.2308,48.1323
102,13.0212,40.5334,28.8705,27.1583,29.791,35.8094,24.7286,45.9458,10.6064,105.755,30.3187,11.276,23.9999,18.6966,71.8469,40.5007,9.6158,5.04679,84.9648,60.847
103,12.5702,41.5542,36.2607,30.7385,32.9718,33.7683,18.7996,52.7735,10.8858,116.251,30.6382,9.28963,18.9969,23.6875,74.0017,49.548,10.3918,8.25836,90.7239,62.7918
104,11.8027,40.8499,30.4989,32.3833,28.6199,30.4461,20.5399,46.5346,10.3416,95.4554,24.7792,14.6587,5.41496,17.3018,78.197,48.3649,11.4189,6.96551,93.7493,62.5427
105,10.9628,41.3763,29.02,29.9832,27.01,34.1803,16.6651,55.3839,1.88928,115.222,25.1155,19.7755,22.0589,20.2567,81.5991,42.5153,10.0959,7.42108,87.4975,61.3097
106,10.032,42.3513,37.8171,25.4205,32.0058,33.5189,24.1483,48.7972,8.41429,111.525,33.2258,23.0202,24.0722,19.1325,70.2336,38.6978,11.9967,7.54073,101.249,60.3218
107,5.04075,39.0975,30.6473,26.979,29.5188,31.3493,26.4563,46.7368,10.2934,103.983,32.8571,20.5734,27.4476,23.8202,81.0478,42.1199,11.6976,5.90352,98.3573,63.416
108,2.89008,41.0767,35.1517,30.2825,33.548,33.3109,26.3442,55.3588,2.96188,117.201,31.9302,3.99133,27.277,23.3551,86.5266,42.2132,10.1698,8.19086,94.5192,48.2457
109,2.64724,41.7871,32.3391,32.2853,30.3824,35.9581,26.2517,52.1159,10.7082,108.032,26.0782,14.8624,19.4461,19.7541,75.1601,44.8194,10.6757,7.72554,98.7121,58.9934
110,13.4112,41.8851,36.4597,30.3277,32.159,34.266,21.7055,53.5804,5.77216,96.3873,27.2201,17.5553,19.3687,24.5969,80.3269,47.3957,10.3164,7.78816,100.452,55.8283
111,8.87134,39.8836,30.551,30.4964,27.083,31.7604,52.0172,46.3466,8.53916,105.487,28.1875,20.4901,6.73355,18.2705,84.891,48.8389,12.9167,4.40409,92.7382,59.681
112,9.67274,42.3371,28.5787,31.1009,27.0328,34.462,7.10844,49.6962,2.81899,96.0914,29.4626,12.6347,5.23935,21.0272,87.6579,44.5451,9.65466,6.65932,98.7632,53.8729
113,2.49662,42.6605,37.9851,32.7515,30.7898,31.4169,26.2933,55.5334,11.3009,110.227,27.8902,20.4767,21.0405,24.5967,80.1677,40.8573,11.0423,6.57029,95.603,57.2318
114,13.1724,41.815,35.3317,31.6617,30.2992,32.8558,15.5669,54.7673,11.1903,101.304,28.773,10.0461,25.6591,22.402,79.2883,48.649,9.82675,5.35247,94.852,63.1735
115,12.5566,41.9553,28.3202,32.0304,32.8175,33.1389,10.1175,54.5253,7.75182,101.176,23.8136,22.7674,26.6745,23.8048,83.6846,41.2562,12.6152,8.2107,88.2015,49.8559
116,8.55772,42.4456,34.5757,27.3884,29.9546,34.8346,8.47577,47.5848,4.6067,116.597,24.4852,18.3439,5.24912,23.7486,72.4147,45.6224,9.7543,6.88313,87.8404,51.5721
117,13.7166,42.6539,31.5053,32.4273,29.4837,34.6059,12.0644,54.8549,9.19804,100.417,25.5825,12.8405,27.1489,24.452,87.2355,43.2796,12.5649,6.7021,80.5731,57.0404
118,12.521,40.1827,34.7774,27.9795,28.6991,35.6925,25.045,54.0466,11.5999,94.8242,28.7103,16.3856,26.6222,17.2764,74.4236,48.5258,10.3606,8.47037,91.3831,60.4646
119,13.2225,40.7228,30.7747,29.9755,32.1539,34.5901,26.1899,47.2321,10.0368,93.9778,29.5868,19.3514,23.029,20.5804,69.7574,48.628,10.0236,4.68224,82.1506,47.8735
120,13.6374,41.2515,29.8268,32.8015,28.4067,32.7456,25.1088,52.879,11.4034,114.91,30.5751,21.3547,4.51728,24.0568,71.7892,42.5106,11.6469,16.0622,94.7905,64.1384
121,10.8357,42.2739,30.0288,29.1522,33.2783,31.6515,24.453,52.5286,4.85232,110.231,24.082,37.2001,20.4919,16.9193,64.5482,42.6385,11.4675,6.70841,96.0153,52.0601
122,6.9507,41.7346,37.2883,26.0133,32.4693,32.7033,20.7253,54.8114,11.7699,98.0623,32.6706,12.0939,12.8569,23.8919,82.6463,46.3875,11.016,12.6869,81.5557,63.6831
123,13.8857,42.6987,29.1598,32.4801,29.2236,31.2982,13.3926,45.9121,11.025,112.613,30.7195,38.9772,15.6448,16.4302,85.8423,42.4095,10.8267,6.38606,95.2729,47.49
124,13.6129,41.2718,30.2114,27.2581,27.9065,31.7804,26.0457,46.2176,11.4518,102.671,31.1981,20.4423,22.387,24.569,74.497,39.4373,9.9054,8.49307,98.3288,57.9064
125,5.71658,39.6822,28.8995,26.8807,28.7154,34.7599,42.9229,54.5504,9.4417,111.88,30.3034,37.5477,6.61571,23.6386,72.3698,41.2398,9.53036,8.84978,97.9291,53.6103
