NodeNo,A.melanoleuca,C.dingo,D.marsupialis,E.barbara,L.pardalis,MeanShape,P.lotor,P.uncia,PC1.max,PC1.min,PC2.max,PC2.min,S.harrisii,U.arctos,V.vulpes,V.zibetha,PC1pos.PC2pos,PC1pos.PC2neg,PC1neg.PC2pos,PC1neg.PC2neg
61,9.56235,22.4195,16.4761,3.79792,21.2071,5.71343,8.37184,65.9202,2.45477,35.646,18.1033,7.95222,1.28879,5.5136,17.863,19.0847,7.84199,3.97044,29.6105,51.4725
62,3.58863,17.7303,14.1831,7.68355,6.53898,15.832,17.0524,69.9224,1.93879,30.0542,19.6126,14.7529,4.07934,1.59999,15.1936,20.1358,9.93967,0.872602,28.7609,51.5092
63,3.65315,20.8571,17.3631,6.61234,8.21062,8.17809,18.6439,66.7566,2.47107,33.4557,20.6119,8.78175,8.16531,8.60481,14.3831,19.0879,9.00458,1.5283,29.855,37.3444
64,4.69221,15.3386,16.5632,5.28354,12.9718,4.39721,24.0004,65.8492,2.11835,20.0596,21.3361,15.8037,9.05022,1.49126,20.4672,20.8857,9.40111,4.32295,22.4495,30.1628
65,4.48379,18.6523,12.9995,5.23382,17.288,6.42256,8.73529,63.3636,2.25154,31.3223,18.2569,11.0618,7.64709,5.09651,21.2546,20.6271,6.08298,1.8244,28.6639,70.2992
66,8.9978,21.4812,17.1824,7.68955,15.4454,11.9298,19.5212,68.4646,3.99737,34.8232,21.0155,8.16541,1.39859,8.5985,21.6221,20.6828,10.0605,3.87433,31.1683,55.4433
67,3.15972,20.0691,14.1431,10.8738,6.79866,8.44062,16.7336,69.7549,1.89962,21.9446,20.783,7.816,8.90302,10.6669,17.66,20.7431,8.71631,3.53123,31.7334,56.5874
68,6.13776,19.7306,17.638,3.01994,9.59892,13.8577,22.7109,65.9156,1.96426,33.844,20.709,13.6563,4.39374,10.0761,23.4027,18.5986,5.40299,3.93821,26.5812,53.0856
69,3.91166,17.9285,13.7943,11.261,16.7276,15.9148,10.5929,66.4412,2.66882,30.1384,15.6905,7.36639,4.24089,4.37202,15.5736,17.9966,6.82541,4.34457,24.6399,55.5574
70,7.75467,19.6612,13.7013,2.81379,18.5222,16.2095,20.9487,68.6019,3.22759,32.1513,15.6531,11.6967,5.13256,7.36109,22.9949,20.3178,9.26751,4.88711,26.7602,44.2741
