NodeNo,A.melanoleuca,C.dingo,D.marsupialis,E.barbara,L.pardalis,MeanShape,P.lotor,P.uncia,PC1.max,PC1.min,PC2.max,PC2.min,S.harrisii,U.arctos,V.vulpes,V.zibetha,PC1pos.PC2pos,PC1pos.PC2neg,PC1neg.PC2pos,PC1neg.PC2neg
83,5.29159,13.6996,13.2945,8.86137,3.93147,8.72452,1.39352,13.1197,3.26229,14.9955,15.652,1.40972,7.04521,7.26553,12.7382,16.4881,7.55681,2.30955,11.7535,7.40787
84,4.64896,16.5288,8.87907,10.0639,3.06702,8.89888,2.02777,12.9069,3.31335,20.2102,9.68317,1.23797,6.78534,7.72046,23.7334,13.1059,8.00088,2.11195,13.4725,6.8165
85,3.67211,12.587,15.1513,8.74686,4.30166,9.05113,3.73749,12.6741,2.49069,21.0645,17.226,1.3123,5.33015,7.79448,13.6799,16.2463,6.75679,2.33958,14.8612,6.56774
86,4.61701,16.0627,9.94982,10.2094,3.84991,8.55764,1.73059,12.9078,2.66176,13.242,13.2196,1.65537,5.87932,7.69578,24.4352,14.9965,7.18147,1.46542,17.0566,6.73387
87,1.11121,13.6489,12.9994,10.4185,4.56458,8.98947,3.60417,12.481,3.46835,16.8462,11.6689,1.56148,4.93104,7.50977,25.5645,15.3396,7.2677,1.77142,17.3749,7.02275
88,4.27245,16.6249,8.69487,8.965,3.22169,8.95204,4.11504,12.4352,0.97197,13.3347,11.1658,1.15423,6.30617,7.88564,12.5842,17.2359,6.97918,2.27419,25.3509,4.71462
89,4.78125,15.8305,9.47846,9.26442,3.51915,8.3964,3.50807,13.6562,3.46254,19.9394,10.787,1.34674,1.57214,7.6275,16.0885,11.73,6.94722,2.21273,25.1204,7.08114
90,5.03311,8.85729,14.3395,9.39847,4.56049,8.94209,2.41075,12.6972,1.63012,15.8625,10.2521,1.2283,6.74484,7.80048,12.6696,11.2739,7.09302,2.21348,15.2555,6.8565
91,4.22533,15.679,14.4688,9.57735,3.70821,8.41654,4.38508,13.0929,2.9528,19.4902,18.1083,2.26586,6.6863,7.77417,20.6159,11.499,8.23412,2.01749,19.1609,7.4348
92,3.80278,16.4336,15.4954,9.96755,3.12835,8.86616,10.9527,12.864,3.51437,20.5845,16.6696,0.956033,4.56745,6.45515,23.5232,11.556,7.59744,2.32679,20.6779,7.05409
