NodeNo,A.melanoleuca,C.dingo,D.marsupialis,E.barbara,L.pardalis,MeanShape,P.lotor,P.uncia,PC1.max,PC1.min,PC2.max,PC2.min,S.harrisii,U.arctos,V.vulpes,V.zibetha
125,2.36406,16.4634,24.1062,8.16837,1.52493,7.09904,8.31412,12.4239,3.43967,12.8362,23.7548,4.63624,1.61846,7.72851,40.3773,23.7097
126,5.85869,16.476,19.8691,9.10832,1.816,7.82392,3.85729,12.2522,3.5831,19.2838,23.6758,0.503058,5.89421,8.05184,31.6934,20.8175
127,5.05768,15.9384,25.3558,8.68281,2.58549,7.62622,3.22134,13.1864,3.64792,14.5605,24.1316,1.10163,2.25526,5.84339,45.0397,26.4309
128,5.94547,14.3453,25.6048,8.20837,2.67414,7.86574,3.03573,13.0443,2.55262,17.1831,23.2363,1.36062,4.47519,6.67108,36.9414,22.3237
129,5.71095,15.9894,25.1784,8.14135,2.36036,8.13172,2.2968,12.9546,3.7756,18.9611,24.5888,1.60426,4.20206,7.1348,39.9423,27.3075
130,5.7704,15.3457,25.1503,9.46721,1.88134,6.8618,4.27613,12.0715,3.91669,15.3684,24.7816,1.73855,5.37601,7.973,41.5848,26.496
131,1.22428,13.3936,24.9801,9.17593,2.40022,7.94179,7.42803,12.2336,3.70688,13.2105,24.4319,0.840179,4.75779,7.81573,32.6514,25.986
132,6.03021,13.4485,25.7302,8.25228,2.1046,7.754,3.44591,13.028,3.0041,14.6168,23.9197,1.71725,5.20662,6.12064,42.441,27.1421
133,1.76164,16.3515,25.43,8.53388,2.66003,6.90026,4.24694,12.7693,3.88221,18.591,23.5796,1.77179,5.34641,6.46501,33.3989,26.5237
134,4.11993,14.0916,22.5543,8.16248,1.4435,7.77458,3.71691,13.2467,2.69935,12.6972,24.5241,0.436767,4.91371,7.91112,39.1029,26.5772
135,5.55857,15.4154,19.4734,9.43057,2.56113,7.61718,2.58147,12.4071,4.02066,19.8595,23.6247,1.47539,1.06919,7.8773,37.7427,23.6386
136,6.04906,15.3945,20.5723,7.94302,1.70834,6.96145,4.30992,12.418,3.01988,13.8601,23.6817,1.79097,5.4413,6.91106,35.3803,26.5628
137,3.72442,16.3711,23.1709,9.29075,1.45044,7.22576,4.31801,12.4766,2.33148,19.5862,24.7911,4.25304,6.03382,8.12106,43.0374,22.3894
138,5.94677,16.0511,25.3299,9.37766,2.6595,7.41501,4.45001,12.4992,4.19327,18.6289,24.764,1.79085,5.52252,8.05875,43.3274,27.4131
139,1.35858,15.7212,24.3941,9.16985,2.0381,8.02096,4.30143,12.8931,4.10795,13.7717,24.4869,1.72968,2.5375,7.7947,32.2968,25.7481
140,6.03629,15.8309,23.9172,9.1045,2.65092,7.49613,3.37919,12.9971,4.17908,18.5369,24.2207,1.79017,1.35633,7.88802,31.64,26.9956
141,1.2814,15.7188,24.9186,8.71794,1.50478,7.09856,2.90442,13.038,3.26113,19.6059,23.7295,0.624032,4.45097,7.8973,43.0036,26.5817
142,3.48539,13.7372,24.8413,9.20233,1.98238,7.82494,4.36149,13.2016,3.60608,16.4836,24.4206,1.34653,5.55759,7.67731,41.5914,25.1295
143,5.12168,14.9576,25.937,9.34216,2.7332,6.96133,3.95653,12.5135,3.45577,16.7628,24.7741,0.945721,5.77289,8.05101,37.9895,22.9941
144,6.19089,14.0241,24.6533,9.1561,1.70896,7.16722,1.32892,12.9387,3.95013,19.9712,23.5919,1.71639,4.62715,7.78215,33.424,21.9026
